-,-,-
-666, 437, 81
-621, 328, 111
-567, 241, 163
-571, 287, 116
-595, 314, 90
-578, 337, 171
-548, 343, 179
-548, 343, 179
-497, 315, 169
-498, 269, 260
-550, 219, 230
-591, 160, 197
-558, 67, 350
-558, 67, 350
-489, -22, 615
-558, 111, 656
-703, 311, 657
-762, 348, 776
-772, 368, 876
-875, 459, 1005
-875, 459, 1005
-964, 598, 1225
-978, 698, 1406
-928, 795, 1386
-849, 875, 1404
-757, 938, 1348
-669, 941, 1183
-588, 908, 1060
-530, 850, 909
-464, 767, 833
-464, 767, 833
-399, 665, 775
-347, 568, 727
-333, 476, 677
-377, 342, 585
-445, 140, 520
-501, -104, 512
-535, -392, 534
-535, -392, 534
-634, -696, 581
-743, -966, 630
-809, -1159, 694
-868, -1161, 767
-939, -1082, 804
-1005, -895, 760
-1063, -725, 730
-1108, -549, 712
-1125, -376, 760
-1144, -211, 897
-1187, -14, 1009
-1221, 163, 1096
-1216, 225, 1171
-1192, 173, 1071
-1152, 121, 960
-1106, 170, 939
-1044, 249, 1005
-954, 430, 846
-954, 430, 846
-872, 540, 430
-787, 507, 101
-653, 450, 36
-471, 254, 53
-339, 130, 13
-339, 130, 13
-287, 25, -147
-296, -87, -269
-322, -96, -175
-340, -193, 118
-440, -217, 150
-567, -145, 110
-662, -174, 191
-748, -251, 301
-748, -251, 301
-829, -279, 352
-881, -275, 349
-906, -293, 383
-946, -308, 444
-970, -322, 450
-960, -377, 446
-942, -431, 437
-893, -479, 403
-809, -479, 327
-725, -372, 329
-662, -55, 395
-662, -55, 395
-645, 241, 420
-618, 563, 437
-590, 1007, 536
-605, 1385, 690
-645, 1517, 783
-659, 1492, 783
-623, 1351, 777
-579, 1119, 764
-579, 1119, 764
-601, 897, 757
-666, 701, 681
-735, 458, 546
-739, 241, 580
-727, 106, 693
-,-,-
-813, 389, 134
-813, 389, 134
-777, 347, 223
-746, 380, 172
-707, 427, 12
-635, 301, 5
-635, 301, 5
-517, 174, 99
-414, 154, 112
-311, 146, 61
-234, 134, -50
-182, 68, -150
-182, 68, -150
-154, 41, -125
-186, -17, 78
-337, 36, 274
-578, 98, 407
-801, 128, 700
-801, 128, 700
-960, 298, 1148
-1068, 485, 1443
-1109, 451, 1591
-1095, 335, 1612
-1060, 352, 1577
-998, 425, 1543
-926, 464, 1459
-876, 509, 1364
-877, 574, 1200
-825, 689, 1143
-732, 700, 1045
-635, 670, 960
-635, 670, 960
-557, 660, 877
-507, 681, 742
-458, 625, 662
-411, 565, 606
-406, 530, 522
