-,-,-
-6, -3, 1009
-6, -3, 1009
-7, 3, 1012
-7, -1, 1010
-7, -1, 1011
-7, -1, 1011
-6, 0, 1011
-6, 0, 1012
-,-,-
-2, 1, 1015
-2, 1, 1015
-4, 0, 1005
-3, 0, 1009
-3, 0, 1009
-5, -2, 1010
-4, 0, 1011
-4, 0, 1011
-3, 0, 1012
-3, 0, 1011
-3, 0, 1009
-3, 0, 1009
-3, -1, 1008
-4, 1, 1013
-4, 1, 1013
0, 1, 1003
-4, 0, 1012
-4, 0, 1012
-4, 0, 1014
-4, 0, 1011
-3, -1, 1010
-3, -1, 1010
-3, -1, 1010
-1, 1, 1007
-1, 1, 1007
-3, 0, 1010
-2, 0, 1010
-3, 0, 1012
-3, 0, 1012
-3, 0, 1011
-2, 0, 1011
-2, 0, 1011
0, 0, 1005
-5, 0, 1012
-5, 0, 1012
-4, 0, 1012
-4, 0, 1012
-4, 0, 1012
-4, 0, 1015
